Found!ကလော်ထုတ်ခြင်တော့တာပါဘဲ	ကလော်ထုတ်ချင်တော့တာပါဘဲ
Found!အရင် းအနှီးလုပ် ခိုင် းမည်	အရင်းအနှီးလုပ် ခိုင်းမည်
Found!အရောင် းအဝယ် လုပ် ခြင် း	အရောင်းအဝယ် လုပ် ခြင်း
Found!အရမ်းကျနေတပြီး	အရမ်းကျနေပြီး
Found!အရှုံးပေါ်နေစဲ	အရှုံးပေါ်နေဆဲ
Found!အလကားရနိူင်တာ	အလကားရနိုင်တာ
Found!အလင်ပြပေပါ	အလင်းပြပေးပါ
Found!အလုပ်ကိ်ု 	အလုပ်ကို
Found!အလုံုးစုံု	အလုံးစုံ
Found!အလျှော်လိုချင်တာမျိုး	အလျော်လိုချင်တာမျိုး
Found!အလွှဲသုံးစာမှုနဲ့တော့	အလွဲသုံးစားမှုနဲ့တော့
Found!အလွှဲသုံးစားလုပ်တယ်	အလွဲသုံးစားလုပ်တယ်
Found!အလွန်အကျွှံ	အလွန်အကျွံ
Found! အလှမ် းမဝေးတဲ့ 	 အလှမ်း မဝေးတဲ့ 
Found!အလှမ် းမဝေးပါစေနှင် ့	အလှမ်းမဝေးပါစေနှင့်
Found!အသေရေဖျက်မှု	အသရေဖျက်မှု
Found!အသက်မပြည်သေးတဲ့	အသက်မပြည့်သေးတဲ့
Found!အသက်ရှင်ဉီးမှာပါ	အသက်ရှင်ဦးမှာပါ
Found!အသင် းရှိသလို	အသင်းရှိသလို
Found!အသင် းလဲ ရှိသည် 	အသင်းလဲ ရှိသည် 
Found!အသိ်ုင်းအဝိုင်း	အသိုင်းအဝိုင်း
Found!အသုံးချလိုက် ခြင် း	အသုံးချလိုက် ခြင်း
Found!အာဏိသင်တွေ	အာနိသင်တွေ
Found!အာမညောင်းသရွေ ့	အာမညောင်းသရွေ့
Found!အာရုံစိုက်နိုင်တာ်	အာရုံစိုက်နိုင်တောင်
Found!အာရုံမစိုက် သင် ့ပါ	အာရုံမစိုက် သင့်ပါ
Found!အာရှနိ်ုင်ငံ	အာရှနိုင်ငံ
Found!အားပေးလှုန့်ဆော်တာမျိုး	အားပေးလှုံ့ဆော်တာမျိုး
Found!အားပေး အားမြှောက်မှု့	အားပေး အားမြှောက်မှု
Found!အားပေးအားမြောက်	အားပေးအားမြှောက်
Found!အီသီယိုးပီးယာား	အီသီယိုးပီးယား
Found!ဉီးတင်မောင်ဆွေ	ဦးတင်မောင်ဆွေ
Found!ဦးထွန်းနိူင်	ဦးထွန်းနိုင်
Found!ဦုးလေးကလဲ	ဦးလေးကလဲ
Found!အဲဒီလိုနဲ 	အဲဒီလိုနဲ့
Found!အဲ့လိုဆိူရင်ကော	အဲ့လိုဆိုရင်ကော
Found!အံ့သြတုန်လုပ်	အံ့သြတုန်လှုပ်
Found!အံ့သြဖွယ်ရာ	အံ့သြဖွယ်ရာ
Found!အံ့အားသင် ့ စရာက 	အံ့အားသင့်စရာက 
Found!ဥက ္ကလာပ	ဥက္ကလာပ
Found!အိင်္ကျီ 	အင်္ကျီ
Found!အင်တာနတ်ရှင်နောင်	အင်တာနက်ရှင်နယ်
Found!အင်တာပျူ 	အင်တာဗျူး
Found!အောင်ပွွဲဝင် 	အောင်ပွဲဝင်
Found!အောင်မြင်မှု့	အောင်မြင်မှု
Found!အိုင် ဒီယာကောင် းတွေရှိရင်	အိုင် ဒီယာကောင်းတွေရှိရင်
Found!အိုင် ဒီယာကောင် း	အိုင် ဒီယာကောင်း
Found!အစ္စလာ်မ်မစ်ဘာသာ	အစ္စလာမ်မစ်ဘာသာ
Found!အစ္စလာမ်မ်စ	အစ္စလာမ်မ်
Found!အိ်တ်ဖွင့်ပေးစာ	အိတ်ဖွင့်ပေးစာ
Found!အန္တ/ရာယ်	အန္တရာယ်
Found!အိမ ်ထောင်သည် 	အိမ်ထောင်သည် 
Found!အိမ်နီးချင်းနိ်ုင်ငံတွေ	အိမ်နီးချင်းနိုင်ငံတွေ
